id;wid;nama;nm_project;deskripsi_project;iddesa;latitude;longitude;accuracy;status;kode_kategori;kategori_landmark;kode_landmark_tipe;tipe_landmark;user_created_at;user_upload_at;user_creator_nama;photo_url
90289269;HPPCAF;SUNGAI;0002;RT.02 RW.01;3271010001;-6.6517734;106.7806757;3.9030001163483;1;150;Batas Wilkerstat;15040;Batas SLS;2025-08-02 10:01:42;2025-08-02 10:01:47;Alldilas Durahman;https://wilkerstat.bps.go.id/api/landmark/90289269/photo
90296065;HPPMBP;SUNGAI;0002;RT.02 RW.01;3271010001;-6.6529221;106.7804223;3.7449998855591;1;150;Batas Wilkerstat;15040;Batas SLS;2025-08-02 10:08:37;2025-08-02 10:08:49;Alldilas Durahman;https://wilkerstat.bps.go.id/api/landmark/90296065/photo
90308129;HPQDXP;BATAS SLS;0002;RT.02 RW.01;3271010001;-6.6531766;106.7809175;4.4120001792908;1;150;Batas Wilkerstat;15040;Batas SLS;2025-08-02 10:19:43;2025-08-02 10:19:46;Alldilas Durahman;https://wilkerstat.bps.go.id/api/landmark/90308129/photo
90310072;HPQGUI;BATAS SLS;0002;RT.02 RW.01;3271010001;-6.6533256;106.7809413;5.2459998130798;1;150;Batas Wilkerstat;15040;Batas SLS;2025-08-02 10:21:25;2025-08-02 10:21:32;Alldilas Durahman;https://wilkerstat.bps.go.id/api/landmark/90310072/photo
90345810;HPSHQW;BATAS SLS;0002;RT.02 RW.01;3271010001;-6.6536906;106.7818064;3.5230000019073;1;150;Batas Wilkerstat;15040;Batas SLS;2025-08-02 10:53:53;2025-08-02 10:53:58;Alldilas Durahman;https://wilkerstat.bps.go.id/api/landmark/90345810/photo
90355619;HPSWED;BATAS SLS;0002;RT.02 RW.01;3271010001;-6.6528367;106.7827169;4.4439997673035;1;150;Batas Wilkerstat;15040;Batas SLS;2025-08-02 11:02:44;2025-08-02 11:02:47;Alldilas Durahman;https://wilkerstat.bps.go.id/api/landmark/90355619/photo
90365313;HPTKMZ;BATAS RT2RW01;0002;RT.02 RW.01;3271010001;-6.6520307;106.7834026;5.3949999809265;1;150;Batas Wilkerstat;15040;Batas SLS;2025-08-02 11:11:20;2025-08-02 11:11:23;Alldilas Durahman;https://wilkerstat.bps.go.id/api/landmark/90365313/photo
90456465;HPYPIV;BATAS SEGMEN;0002;RT.02 RW.01;3271010001;-6.6515421;106.781651;5.0329999923706;1;150;Batas Wilkerstat;15070;Batas Segmen;2025-08-02 12:59:59;2025-08-02 13:00:03;Alldilas Durahman;https://wilkerstat.bps.go.id/api/landmark/90456465/photo
90457441;HPYQUJ;BATAS SUNGAI;0050;rt 2 rw 11;3271010001;-6.6513483;106.7814177;8.1009998321533;1;150;Batas Wilkerstat;15040;Batas SLS;2025-08-02 13:01:01;2025-08-02 13:01:23;Muhamad galih anggara pradana;https://wilkerstat.bps.go.id/api/landmark/90457441/photo
90925291;HQZGWP;RUMAH PAK RW;0050;rt 2 rw 11;3271010001;-6.6514423;106.779754;18.527000427246;1;150;Batas Wilkerstat;15070;Batas Segmen;2025-08-03 10:43:50;2025-08-03 10:43:55;Muhamad galih anggara pradana;https://wilkerstat.bps.go.id/api/landmark/90925291/photo
90929957;HQZNUB;BATAS TIANG;0050;rt 2 rw 11;3271010001;-6.6516468;106.7794633;7.9629998207092;1;150;Batas Wilkerstat;15040;Batas SLS;2025-08-03 10:47:56;2025-08-03 10:47:59;Muhamad galih anggara pradana;https://wilkerstat.bps.go.id/api/landmark/90929957/photo
91010917;HREDNX;BATAS SOLOKAN;0050;rt 2 rw 11;3271010001;-6.6502592;106.7800239;8.8819999694824;1;150;Batas Wilkerstat;15040;Batas SLS;2025-08-03 12:08:16;2025-08-03 12:08:18;Muhamad galih anggara pradana;https://wilkerstat.bps.go.id/api/landmark/91010917/photo
91436792;HSCJNS;BATAS TIANG LAMPU JALAN RT 2 RW 11;0050;rt 2 rw 11;3271010001;-6.6523076;106.7805786;15.809000015259;1;150;Batas Wilkerstat;15040;Batas SLS;2025-08-04 10:08:10;2025-08-04 10:08:13;Muhamad galih anggara pradana;https://wilkerstat.bps.go.id/api/landmark/91436792/photo
91487782;HSFGYW;BATAS RT 2 RW 11;0050;rt 2 rw 11;3271010001;-6.6498865;106.7808127;4.5799999237061;1;150;Batas Wilkerstat;15040;Batas SLS;2025-08-04 10:58:35;2025-08-04 10:58:37;Muhamad galih anggara pradana;https://wilkerstat.bps.go.id/api/landmark/91487782/photo
91495019;HSFRRF;BATAS RT 2 RW 11;0050;rt 2 rw 11;3271010001;-6.6490311;106.7806564;5.9930000305176;1;150;Batas Wilkerstat;15040;Batas SLS;2025-08-04 11:05:33;2025-08-04 11:05:35;Muhamad galih anggara pradana;https://wilkerstat.bps.go.id/api/landmark/91495019/photo
91430065;HSBZOZ;BATAS SLS RT 01 RW 08;0037;RT 01 RW 08;3271010001;-6.6291768;106.789365;4.3000001907349;1;150;Batas Wilkerstat;15040;Batas SLS;2025-08-04 10:01:13;2025-08-04 10:01:16;Slamet;https://wilkerstat.bps.go.id/api/landmark/91430065/photo
91459754;HSDRMW;BATAS SLS RT 01 RW 08 JEMBATAN KALI CIBEUREUM;0037;RT 01 RW 08;3271010001;-6.6248158;106.7932495;1.7000000476837;1;150;Batas Wilkerstat;15040;Batas SLS;2025-08-04 10:31:43;2025-08-04 10:31:45;Slamet;https://wilkerstat.bps.go.id/api/landmark/91459754/photo
91467244;HSECOY;BATAS SLS RT 01 RW 08;0037;RT 01 RW 08;3271010001;-6.6250711;106.7933907;2;1;150;Batas Wilkerstat;15040;Batas SLS;2025-08-04 10:38:48;2025-08-04 10:38:50;Slamet;https://wilkerstat.bps.go.id/api/landmark/91467244/photo
91473268;HSELMQ;BATAS SLS RT 01 RW 08;0037;RT 01 RW 08;3271010001;-6.6258314;106.7931501;1.7000000476837;1;150;Batas Wilkerstat;15040;Batas SLS;2025-08-04 10:44:32;2025-08-04 10:44:35;Slamet;https://wilkerstat.bps.go.id/api/landmark/91473268/photo
91477488;HSERSY;SEGMEN 03 MUSHOLLA RT 01 RW 08;0037;RT 01 RW 08;3271010001;-6.6259836;106.7934367;2.2000000476837;1;150;Batas Wilkerstat;15070;Batas Segmen;2025-08-04 10:48:26;2025-08-04 10:48:28;Slamet;https://wilkerstat.bps.go.id/api/landmark/91477488/photo
91482076;HSEYNK;BATAS SLS RT 01 RW 08;0037;RT 01 RW 08;3271010001;-6.6271105;106.7934702;1.8999999761581;1;150;Batas Wilkerstat;15040;Batas SLS;2025-08-04 10:52:57;2025-08-04 10:52:59;Slamet;https://wilkerstat.bps.go.id/api/landmark/91482076/photo
