id;wid;nama;nm_project;deskripsi_project;iddesa;latitude;longitude;accuracy;status;kode_kategori;kategori_landmark;kode_landmark_tipe;tipe_landmark;user_created_at;user_upload_at;user_creator_nama;photo_url
91289851;HRUAED;KEBUN BP AHMAD;0005;Rt.005 Rw.002;3210010001;-7.0515253186807;108.18630885333;1.9329999685287;1;150;Batas Wilkerstat;15040;Batas SLS;2025-08-02 17:03:45;2025-08-03 17:42:09;Wina Suminarti;https://wilkerstat.bps.go.id/api/landmark/91289851/photo
91290051;HRUALV;RUMAH BU MURKI;0005;Rt.005 Rw.002;3210010001;-7.0508551795335;108.18857833743;1.9160000085831;1;150;Batas Wilkerstat;15040;Batas SLS;2025-08-03 13:18:08;2025-08-03 17:42:30;Wina Suminarti;https://wilkerstat.bps.go.id/api/landmark/91290051/photo
91290150;HRUAPQ;TOKO IBU EMAY;0005;Rt.005 Rw.002;3210010001;-7.0504558906036;108.18853843957;1.5659999847412;1;150;Batas Wilkerstat;15040;Batas SLS;2025-08-03 13:19:28;2025-08-03 17:42:41;Wina Suminarti;https://wilkerstat.bps.go.id/api/landmark/91290150/photo
91290283;HRUAUT;RUMAH BP ENUR;0005;Rt.005 Rw.002;3210010001;-7.0518959910596;108.1888653338;1.5829999446869;1;150;Batas Wilkerstat;15040;Batas SLS;2025-08-03 13:28:16;2025-08-03 17:42:59;Wina Suminarti;https://wilkerstat.bps.go.id/api/landmark/91290283/photo
91291681;HRUCWN;RUMAH BP AHMAD;0005;Rt.005 Rw.002;3210010001;-7.0509949305776;108.18764124066;1.8159999847412;1;150;Batas Wilkerstat;15040;Batas SLS;2025-08-03 13:37:44;2025-08-03 17:45:35;Wina Suminarti;https://wilkerstat.bps.go.id/api/landmark/91291681/photo
91291741;HRUCYV;MASJID AL HIKMAH;0005;Rt.005 Rw.002;3210010001;-7.0504638763855;108.18811196834;1.7159999608994;1;150;Batas Wilkerstat;15040;Batas SLS;2025-08-03 16:40:18;2025-08-03 17:45:43;Wina Suminarti;https://wilkerstat.bps.go.id/api/landmark/91291741/photo
91292737;HRUELD;SAWAH IBU TITI;0006;Rt.006 Rt.002;3210010001;-7.0515379628062;108.18574357778;1.6160000562668;1;150;Batas Wilkerstat;15040;Batas SLS;2025-08-03 16:02:39;2025-08-03 17:47:46;Wina Suminarti;https://wilkerstat.bps.go.id/api/landmark/91292737/photo
91292829;HRUEOR;WARANG IBU WITI;0006;Rt.006 Rt.002;3210010001;-7.0503810238909;108.18791884929;1.5829999446869;1;150;Batas Wilkerstat;15040;Batas SLS;2025-08-03 16:38:18;2025-08-03 17:48:01;Wina Suminarti;https://wilkerstat.bps.go.id/api/landmark/91292829/photo
91880833;HTBQKF;SAWAH BP OMAN;0006;Rt.006 Rt.002;3210010001;-7.054035;108.1837833;1.6000000238419;1;150;Batas Wilkerstat;15040;Batas SLS;2025-08-04 16:00:01;2025-08-04 18:26:58;Wina Suminarti;https://wilkerstat.bps.go.id/api/landmark/91880833/photo
91880845;HTBQKR;SAWAH BP DUDUNG;0006;Rt.006 Rt.002;3210010001;-7.053875789137;108.18480916321;1.6160000562668;1;150;Batas Wilkerstat;15040;Batas SLS;2025-08-04 15:49:07;2025-08-04 18:27:03;Wina Suminarti;https://wilkerstat.bps.go.id/api/landmark/91880845/photo
